onset	duration	CueOnset	ProbeOnset	ITIOnset	CSIDuration	StimDuration	ColorShapeProbe	ProbeRecode	Stimulus	StimulusColor	StimulusShape	StimulusRecode	ButtonPressCode	RespRecode	ReactionTime	CSI	CSIRecode	CorrectResp	Congruency	Switching	CueOnset_noTriggerAdjust	ITIOnset_noTriggerAdjust	ProbeOnset_noTriggerAdjust
361.01924	1.19138999999996	361.01924	362.21063	364.2128	1.19138999999996	1.54921999999996	C	1	redcircle	red	circle	4	28	2	0.35783	LONG	2	1	INCONGRUENT	NOSWITCH	361.01924	364.2128	362.21063
365.22217	0.198570000000018	365.22217	365.42074	367.40632	0.198570000000018	1.12811000000002	COLOR	3	redcircle	red	circle	4	28	2	0.92954	SHORT	1	1	INCONGRUENT	NOSWITCH	365.22217	367.40632	365.42074
368.4157	0.198579999999993	368.4157	368.61428	370.61645	0.198579999999993	2.07751999999999	C	1	greencircle	green	circle	3	5	1	1.87894	SHORT	1	1	CONGRUENT	NOSWITCH	368.4157	370.61645	368.61428
371.60929	0.198509999999999	371.60929	371.8078	373.80999	0.198509999999999	1.41403	COLOR	3	redcircle	red	circle	4	28	2	1.21552	SHORT	1	1	INCONGRUENT	NOSWITCH	371.60929	373.80999	371.8078
374.81932	0.198550000000012	374.81932	375.01787	377.0201	0.198550000000012	0.853520000000012	C	1	redtriangle	red	triangle	2	28	2	0.65497	SHORT	1	1	CONGRUENT	NOSWITCH	374.81932	377.0201	375.01787
378.01285	0.198599999999999	378.01285	378.21145	380.21363	0.198599999999999	1.44902	S	2	greentriangle	green	triangle	1	28	2	1.25042	SHORT	1	1	INCONGRUENT	SWITCH	378.01285	380.21363	378.21145
381.20644	1.20794000000001	381.20644	382.41438	384.41656	1.20794000000001	1.68261000000001	SHAPE	4	greencircle	green	circle	3	5	1	0.47467	LONG	2	1	CONGRUENT	NOSWITCH	381.20644	384.41656	382.41438
385.40937	1.20799	385.40937	386.61736	388.61945	1.20799	1.68466	S	2	redcircle	red	circle	4	5	1	0.47667	LONG	2	1	INCONGRUENT	NOSWITCH	385.40937	388.61945	386.61736
389.61231	0.19852000000003	389.61231	389.81083	391.81298	0.19852000000003	1.16917000000003	COLOR	3	greentriangle	green	triangle	1	5	1	0.97065	SHORT	1	1	INCONGRUENT	SWITCH	389.61231	391.81298	389.81083
393.81517	0.198559999999986	393.81517	394.01373	396.0159	0.198559999999986	1.36282999999999	C	1	greentriangle	green	triangle	1	5	1	1.16427	SHORT	1	1	INCONGRUENT	NOSWITCH	393.81517	396.0159	394.01373
397.00873	1.20790999999997	397.00873	398.21664	400.20233	1.20790999999997	1.82509999999997	COLOR	3	redtriangle	red	triangle	2	28	2	0.61719	LONG	2	1	CONGRUENT	NOSWITCH	397.00873	400.20233	398.21664
